ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0051345	positive regulation of hydrolase activity	403/13414	479/23577	4.8753854088129e-38	2.90865493489777e-34	9.87393844900633e-35	240690/98582/54610/227059/20846/12370/74018/22218/56812/13838/210293/12828/227326/51800/226407/93672/14270/21956/329260/19735/50778/13211/67792/19734/208263/240832/11352/29809/14103/20339/11931/16963/19736/383619/24012/51810/13982/64058/14219/110829/18119/93759/19152/23805/104303/11783/12905/17931/114774/66687/15978/74694/103724/12323/56193/76884/16428/14694/26420/76795/19052/192786/216749/22416/216799/83431/11932/13543/11684/18436/76281/97761/18015/20296/20306/20290/20304/20308/20305/20302/20303/192197/68097/18053/58996/13866/12775/20848/544817/17896/78943/11818/19739/217303/15223/207592/108903/74682/217463/18760/238161/56784/15512/217692/50779/14744/217869/68020/11651/56349/20191/11607/67046/20354/69635/18570/17260/218397/17686/14063/14062/76041/170625/16398/109700/14165/108671/211922/11843/22418/18753/26419/11727/20680/19229/11549/18095/15558/210789/105445/223453/17869/105782/15499/54152/105835/223752/223754/69440/66725/223864/223870/18174/54483/68606/65079/13544/545156/70186/12374/56637/73916/19876/21844/66616/17356/18607/22084/76483/26416/56462/22339/72238/66968/22324/19765/320209/22436/17685/17688/11516/30948/107045/18596/170826/11555/58801/17196/108995/17283/76088/16452/226089/14102/71972/11554/69060/98910/20163/71435/64930/107746/70296/14828/227753/227801/227937/21353/13427/16403/66861/56428/22259/99349/19419/12125/12156/241694/67231/228850/21939/277360/56491/14683/22035/14173/18645/76089/20319/18211/13636/13638/20201/20202/20194/18720/11853/109905/13609/14066/271981/114249/77669/229877/16007/12042/17096/65973/192656/26885/433693/269523/242406/381605/230163/14745/326623/230379/12578/67299/15444/16818/19204/230824/230837/22417/110351/68943/68350/18784/108911/213649/13836/18762/11603/50791/14184/100855/57915/22165/18595/19712/55985/231532/14020/100503670/52850/23790/56455/29816/93897/215114/56221/66437/14254/13426/12390/101185/78781/381760/54324/14056/13063/107607/11517/20617/13666/14080/64704/69538/232227/65106/19016/19713/12122/243621/18205/108124/170770/101540/11813/11652/245886/56330/22260/101568/12028/244058/18213/108797/233489/22411/27050/109689/69710/56212/19226/70261/26417/68449/66824/67865/14183/14082/213027/20300/54126/66790/234072/234094/330721/14182/14272/22427/50768/97165/67184/17925/71310/244548/81489/14681/20299/20312/20295/102075/244654/85305/11606/16412/12362/12364/71544/23988/13430/21838/11806/11808/66113/270162/18854/74286/270163/72565/17127/214424/67941/22003/14697/19417/13036/67016/22038/11933/19823/26927/14685/11848/235611/12424/67469/19733/382253	403
GO:0044057	regulation of system process	412/13414	498/23577	2.25557787155094e-35	6.72838879083647e-32	2.28406938150738e-32	18387/277328/14660/17700/22218/12168/16011/18627/208727/64095/16324/71111/16153/26361/280287/381290/11539/17928/21952/21956/19735/12290/21960/11931/246256/12372/98660/16513/11545/21808/14816/14219/103199/23828/18821/14609/21337/93759/216033/11540/21390/12952/16000/110312/114774/17246/15978/54140/29856/16878/13649/68585/11548/14566/20520/11749/14654/20787/11541/214384/57785/18436/193034/19062/11418/11640/67888/12291/93670/18053/21833/353155/16480/69847/12921/17896/11421/18750/16518/20606/26941/20698/56745/14387/217369/18976/11622/238130/238161/15251/110893/12652/192119/11651/20688/12671/20191/16323/11607/109620/12161/13614/16468/13488/15466/14186/56320/212937/17260/76469/14063/14062/27220/18708/238871/16398/14165/21834/12325/11534/16531/12289/21924/14528/140781/14463/11549/68813/18095/15558/19219/13132/170762/12818/67731/74868/22402/13350/20665/18591/328572/19230/54615/106393/268860/14811/13731/67451/12846/14167/13383/12374/56637/64082/13490/13052/20655/246133/16509/12394/215445/18091/74116/14652/18585/11629/94185/20807/57440/20541/13819/13511/15200/14815/140492/11555/17128/17131/67655/18018/14427/14419/110355/11474/225908/20510/16452/19091/19211/67795/72514/76055/11551/11554/12296/12287/18516/19224/11480/53416/56508/22138/18012/54598/68678/228139/17868/228355/22259/12953/11552/16176/18429/11998/11550/228785/20648/11486/17201/14683/13616/52856/18216/18389/11608/192167/208188/58869/22065/16183/56458/18167/99571/14161/110135/16905/14466/20416/13040/14613/11928/12373/56543/99738/242202/108058/109676/114249/21338/19055/435766/18124/16600/21898/13109/18578/13615/230738/16818/18386/19204/433766/230857/18158/230899/56717/74155/24111/433809/11603/109552/18671/108069/12293/15234/16511/18127/16193/22226/11553/12494/18935/14843/16590/74318/50849/23980/18125/19247/17906/11938/80885/29816/17969/14886/57080/245880/21333/16846/109624/14489/21391/60531/12922/11826/13666/22320/21336/52055/12154/23945/320701/108655/50501/30937/18430/15465/11689/12288/232341/16493/16485/19277/319552/80297/20190/54631/233080/17136/243931/259277/22260/68667/14814/20927/13009/11441/17258/75547/16790/23966/18479/12426/17540/21676/12310/11937/30926/21953/21957/21823/16535/13043/57264/14456/14182/75767/211323/11739/15111/71597/387216/26383/54352/17390/14681/20312/78688/13057/11606/93742/17386/71544/77116/244701/23988/319239/16521/235281/72821/11806/11808/66113/13489/17967/66402/108015/17127/17130/235442/22003/69642/26927/22041/56318/13138/11848/171530/17897/333433/20271/20264/24046/12424/30878/14168/14265/12000/192176/13405/58861/70008	412
GO:0045666	positive regulation of neuron differentiation	350/13414	414/23577	4.52974712736571e-34	9.00815712062129e-31	3.0579766572111e-31	620393/29819/116837/12633/12168/320460/14268/13838/20720/59041/12043/14633/74117/20980/215378/11352/240843/110648/12944/19130/52906/20393/14360/103199/54198/11925/93759/17319/18483/19205/20869/216166/21423/114606/54712/216233/20979/216344/15978/66225/16878/12323/319922/12808/66713/14025/213084/216739/11840/22416/22671/22368/18208/83431/192986/18472/20317/380713/20370/18015/20304/67468/18103/18102/70834/16400/18053/18013/19401/15114/67998/11858/14824/22415/17762/20698/108100/104318/16570/17977/20403/238057/77480/20666/15228/18760/15375/18080/238276/50779/19164/18222/12161/20354/56320/18212/17260/11881/13803/17755/54713/218772/71228/22418/12159/12891/50769/19229/18039/76965/223255/20356/116838/328572/140570/58234/12805/11908/106298/70620/74006/19385/208643/104156/12053/74143/545156/56637/13837/19876/268902/67102/11504/21844/18546/13508/19317/27279/22084/18091/23969/240058/22339/20807/71461/66515/18519/13640/21815/11516/21417/19762/20983/14815/22240/83814/21413/13176/17919/17344/13728/28000/14297/22359/19211/15566/107765/319740/18011/71653/227541/269254/107746/99412/14828/69601/24136/13390/13392/15434/18024/18012/241514/53872/18508/12064/228550/17005/213696/11552/12156/15376/13436/12396/14563/266692/228839/228880/11538/12162/12561/269397/723951/20459/20257/192167/18759/20482/67414/20674/16183/20429/76089/18211/12904/20202/18049/109905/229715/75769/11924/65086/320840/242274/17096/242316/12801/14745/69807/56710/76804/19266/13131/16975/15572/230674/19268/56401/329934/99982/68350/17965/56717/13542/14362/15234/50791/19699/20423/16193/11553/18935/52822/12492/18096/231672/19415/17165/13048/16885/15507/13047/11423/75104/19353/18261/75788/243725/71900/17295/19283/19242/109880/14056/11921/68169/19692/14461/211232/52163/67784/20315/19713/16974/232560/269878/18223/245886/243961/20981/19259/20430/16001/244058/18213/14159/29875/12877/18479/233552/18442/11785/13690/110058/64297/13631/101513/16150/14182/211323/23965/18997/58198/16373/20312/74187/234593/71955/76454/11606/330863/244667/16412/22068/13857/57810/235180/330938/20361/53869/12175/21406/50772/12160/13627/69981/17973/23999/11848/80987/235611/54214/67095/12774/12361/14265/140571/16728/13405/382253	350
GO:0061564	axon development	383/13414	461/23577	9.43982055637956e-34	1.40794923598401e-30	4.77953019749323e-31	13518/70827/74018/12168/77300/18187/93691/12912/17756/14268/13838/14472/59041/12043/14633/74117/12767/21367/269116/16980/16872/21960/329278/110648/93840/13800/21808/18845/338362/78808/16773/21907/107449/13654/11735/17319/110532/20869/13637/18717/54712/216344/16572/380684/432530/12808/53625/14025/68585/20564/23964/213084/320027/22416/16897/22368/18208/77579/83431/18472/237847/380713/237860/12569/18121/18053/13866/11858/18612/22415/17762/18750/18164/11302/19325/238057/11491/75847/14009/319504/15228/21869/18094/18080/217692/19164/18222/399558/76260/58208/14026/238505/70430/14634/68404/20354/107448/56320/18212/14451/19206/13361/110596/15229/17755/20595/16392/54713/22330/22418/218877/107751/18424/50769/16554/12934/18039/18040/76965/239250/75409/223255/22772/20356/14042/14083/328572/22422/140570/26565/65079/13845/268882/545156/20357/56637/117606/11658/68193/13837/19876/268902/11820/21844/13508/27279/18209/22084/240057/12305/22339/20807/70530/19280/13640/19274/225020/16573/12558/11789/18998/20358/69597/13176/17128/17919/13728/14297/16452/19211/56839/319740/72832/14179/226251/71653/22326/14462/22352/16871/18128/56177/171171/11350/99412/20910/16870/24136/16574/18227/21375/108699/269295/241528/228357/241568/18508/12064/214585/69737/71436/11538/12162/12561/59058/20482/229285/13175/20429/386750/18211/12904/387133/20351/360213/13636/13638/13639/11444/20360/76893/18049/70747/269473/229715/80883/229791/11924/77018/22253/12167/65086/170822/13841/12801/18124/16600/21923/69807/18028/16476/67299/13131/11876/19268/230676/16765/12399/13844/13842/242735/21941/70433/13542/11603/19699/231044/20423/15285/65254/14184/12933/20563/11787/22223/18935/13839/52822/77630/18096/104382/22241/231637/19247/654470/319974/16885/11423/11461/19353/18261/231876/74132/13395/19283/319757/243743/109880/11921/12386/20355/23945/18844/22421/108655/12661/269784/74244/67784/20315/19713/723944/18205/19277/381979/22323/269878/18223/80297/80749/233067/17136/259277/20430/17984/16001/244058/18213/723968/233489/18479/244152/11785/13690/233781/101490/14183/75770/244237/79202/13043/13642/210801/211323/19339/17274/18997/12286/17390/12552/71955/22152/244667/16412/13430/235072/235180/19649/58235/21838/22687/13489/17967/330938/104360/235402/20361/18007/53869/20616/270190/20187/23999/81897/20350/13138/16779/107934/235611/76499/54214/67095/12424/12774/22284/236794/14168/140571/16728/171207/18846/11878/382253	383
GO:0023061	signal release	372/13414	449/23577	2.61772729017899e-32	3.12347220264157e-29	1.06031732764303e-29	18387/277328/21419/116837/26921/12912/56695/19275/16367/18627/23830/16324/71111/226407/18640/280287/11539/20980/13924/14645/12290/100039795/22782/74732/320995/14609/215999/21337/93759/11540/28240/18641/71709/19205/114229/59090/12952/27204/20186/108030/20979/215449/15978/15364/114679/18413/16878/22433/103988/13649/19324/14566/67826/20787/22318/13447/18126/18015/59040/20304/21410/20913/217166/12921/20698/11799/56745/74370/18976/20666/15251/19164/18191/13371/238377/723863/19276/83428/16323/15216/14756/20677/11607/12161/13614/94245/12890/14186/18212/93692/17260/218461/15357/15229/27220/15550/75597/16392/18300/27062/19056/319508/14661/20618/74551/12143/18095/15558/21943/67041/19219/13132/22631/116838/319613/17069/378435/105782/13350/53357/12614/223775/66725/54003/18642/11419/54615/268860/74006/545156/224129/12374/106347/207227/68159/21844/104015/12394/52793/83672/20609/215445/67267/19015/14652/19326/54393/271457/13640/213760/18754/18189/11516/16573/20983/67847/12322/17202/17128/17126/14427/12894/14419/16973/56708/20743/19653/18190/20908/16952/19726/16452/107221/19662/76055/11551/21416/214084/74998/14462/16181/18510/12287/20910/227737/19224/11480/14526/14725/56508/18012/228355/12953/80976/18508/16176/20614/15376/17957/12048/14601/18111/15378/241770/16500/14683/13616/17932/192167/208188/58869/18645/18441/99571/14161/110135/229521/70093/20615/56205/18049/54524/20501/109905/11542/99738/20912/15107/97086/19055/68151/17096/320790/12801/22249/13109/16847/14664/13615/242662/19063/12163/433759/269589/15565/57320/24111/13542/67389/109552/26875/16193/83762/22226/15194/12494/12753/19712/13839/18096/12889/63873/21405/56455/75387/18125/21386/170756/19894/19247/11938/18439/67151/80885/78894/13852/20907/381677/50765/18609/243725/21333/15893/12638/320405/14823/16846/320127/109880/64177/60531/12922/11826/14602/18575/20617/22320/21336/52055/22421/22044/74244/20965/19016/110157/12288/64654/67623/53420/381979/16156/108124/381853/108075/233079/233080/20981/16504/68667/76787/22342/16514/20927/68039/14366/18479/109689/22228/12426/60510/11865/18576/53322/110058/64384/13491/75770/55925/16535/101772/57264/384783/54126/20377/14182/75767/17773/110385/19339/12286/277978/58994/11606/244701/102607/71764/214597/13489/235415/235442/208898/17918/94353/20616/266690/26927/171530/104831/245049/12361/30878/14265	372
GO:0031346	positive regulation of cell projection organization	348/13414	417/23577	1.50022877481572e-31	1.4917274784251e-28	5.06393011007974e-29	620393/29819/116837/12633/12168/14268/76709/22349/13838/20720/208727/59041/74117/20980/11352/103967/12944/52906/20393/14360/103199/54198/93759/17319/18483/19205/20869/216166/54712/20979/260315/216344/66225/16878/12323/12808/66713/14025/216616/213084/216739/11840/22416/22368/18208/83431/18472/20317/380713/20370/18015/192197/18103/18102/16400/18053/103742/12775/15114/67998/11858/14824/353047/22415/17762/56699/20698/53860/108100/16570/20403/77480/18760/18080/238276/27260/19164/18222/21809/15519/18811/68732/193385/68750/20354/56320/18212/11881/14063/13803/17755/16398/71228/22418/12159/12891/219103/50769/19229/18039/76965/223255/20356/116838/18606/72844/19354/104445/328572/140570/58234/12805/22408/11908/106298/70620/74006/19385/74143/545156/56637/13837/19876/268902/67102/11504/21844/18546/13508/19317/27279/22084/23969/240058/22339/20807/71461/66515/18519/13640/68767/72722/260409/104215/11516/19762/20983/11789/14815/22240/225523/83814/13176/17919/17344/23789/13728/14297/22359/15566/107765/319740/18011/71653/227541/18761/667663/269254/107746/99412/16819/14828/69601/24136/329421/18024/50884/241514/53872/12064/623781/228550/17005/140810/192212/12396/20779/228880/11538/12162/12561/269397/723951/20459/20257/192167/18759/20482/67414/16183/229320/20429/76089/18211/12904/20202/18049/109905/229715/75769/65086/320840/242274/17096/12801/21812/14745/19266/75811/16975/15572/19268/56401/329934/242687/99982/12540/68350/230872/56717/56226/59002/13542/11603/14362/15234/50791/19699/16193/15194/231225/16590/381644/52822/12492/23790/56455/231672/19415/17165/13048/18439/319974/16885/15507/13047/11423/14086/19353/18261/75788/243725/71900/17295/19283/19242/109880/14056/11826/68169/19692/211232/52163/101314/67784/20315/19713/16974/232560/67425/269878/18223/245886/243961/20981/19259/20430/16001/244058/18213/14159/29875/12877/18479/18442/69710/11785/13690/110058/64297/13631/101513/16334/54126/16150/14182/211323/23965/234267/18997/20312/74187/234593/234695/71955/76454/23854/11606/330863/244667/16412/13430/13857/68743/235072/235180/330938/20361/102774/53869/235442/17427/50772/12160/13627/69981/17973/23999/80987/235611/54214/67095/12361/14265/140571/16728/13405/382253	348
GO:0001501	skeletal system development	395/13414	486/23577	1.13696011589607e-30	9.69014864490854e-28	3.28949062102864e-28	14048/98711/257630/12839/19335/214855/17936/212712/12168/16147/18159/13345/208727/14633/72999/12292/19264/23850/29809/474332/17926/18933/18514/338366/21808/226844/270685/17684/14219/18119/12817/71371/16969/14797/58250/16000/216285/17877/17937/14561/17268/216616/268396/14172/20692/15110/216795/19377/212627/68964/84653/216892/18472/76566/21387/380718/18121/278507/12643/12842/237928/15415/15414/15410/15407/22658/21833/19401/22412/18750/12006/67671/192170/72055/18109/20666/22160/20471/15251/69480/19164/21809/71375/238377/109181/14836/192119/13386/16450/217935/320910/14634/14756/20677/17300/12161/21418/13614/20354/26564/17702/18740/212937/17129/14451/17260/12950/13003/218772/21834/22418/66175/12166/12159/16854/17387/14180/21943/16840/19219/71175/223332/320277/239337/18162/107587/252973/239405/83925/14042/15117/17869/20289/79456/328572/214685/22422/105722/22337/12824/22410/22408/19411/20683/100503872/109663/209448/15427/15426/15425/15424/15423/29813/20583/21380/22061/13383/70508/12394/20997/18763/12005/26416/12411/12815/106722/12393/22339/20807/17240/106522/20472/21417/14119/15531/12590/18596/170826/240396/69190/17126/620235/16973/11474/19697/16998/17283/18552/22682/21873/226049/23972/19662/30838/14179/12151/18718/208618/140858/20204/11480/64406/13390/111970/13392/20687/69605/15432/15431/15437/15434/20378/11695/14260/21825/14118/215653/12156/57329/18503/58214/21407/228790/14563/20779/17395/72043/20613/12162/14683/14173/329628/19338/55994/99929/20429/30953/54635/20319/12032/73940/17261/192195/21827/14613/21384/229644/11694/12814/18741/97086/12167/16007/242291/320790/242316/17389/230103/21812/373864/18028/329872/230484/242585/21349/56401/12164/12163/17180/242687/12399/15530/11647/18509/13836/20148/15208/20481/74511/231070/20423/67661/14184/107823/17701/12020/231225/18595/16590/16542/110075/94111/116701/231633/63873/21386/19247/18439/73121/66711/18984/80752/18590/22255/12843/13395/16846/232685/208647/15404/15405/791364/13666/232174/12154/22421/15170/14177/22158/16974/17313/20678/19227/269878/13389/20190/22177/269941/233328/75547/11595/233405/12406/69121/16332/56788/19226/20679/26417/27973/14183/101476/54006/12577/14175/244329/20377/14182/15111/234356/330790/13004/12845/17125/15245/17390/67378/20340/80707/17132/22761/77087/17386/11433/102607/12023/14247/114873/70661/54725/235320/15211/17127/19035/12306/12160/108153/22771/56492/20187/70235/11848/235611/235626/235627/19228/17002/21813/67561/215418/12387/21922/19733/622473/66226	395
GO:0007409	axonogenesis	356/13414	431/23577	1.92460680840445e-30	1.43423471243799e-27	4.86876084960512e-28	13518/70827/74018/12168/77300/18187/93691/12912/17756/14268/13838/14472/59041/12043/14633/74117/12767/21367/269116/16980/16872/21960/329278/110648/93840/13800/21808/18845/338362/78808/16773/21907/107449/13654/11735/110532/20869/13637/18717/54712/216344/16572/380684/432530/12808/53625/14025/68585/20564/23964/213084/320027/22416/16897/22368/18208/77579/83431/18472/237860/12569/18121/18053/13866/11858/18612/22415/17762/18750/18164/11302/19325/238057/75847/14009/319504/15228/21869/18094/18080/217692/19164/18222/399558/76260/58208/14026/70430/14634/68404/20354/107448/56320/18212/14451/19206/110596/15229/17755/20595/16392/54713/22330/22418/218877/107751/18424/50769/16554/12934/18039/18040/76965/239250/75409/22772/20356/14042/14083/328572/22422/140570/26565/65079/13845/268882/545156/20357/56637/117606/11658/68193/19876/268902/11820/21844/13508/27279/18209/22084/240057/22339/20807/70530/19280/13640/19274/225020/16573/12558/11789/18998/20358/69597/13176/17128/17919/13728/14297/19211/56839/319740/14179/226251/71653/22326/14462/22352/16871/18128/56177/171171/11350/99412/20910/16870/24136/16574/18227/21375/108699/241528/228357/241568/18508/12064/214585/69737/71436/11538/12162/12561/59058/20482/229285/13175/20429/386750/18211/12904/387133/20351/360213/13636/13638/13639/11444/20360/18049/229715/80883/229791/11924/77018/22253/12167/65086/170822/13841/18124/18028/67299/13131/11876/230676/16765/12399/13844/13842/242735/21941/70433/13542/11603/19699/231044/20423/15285/65254/14184/12933/20563/11787/22223/18935/13839/52822/77630/18096/104382/22241/231637/19247/654470/319974/16885/11423/11461/19353/18261/231876/74132/13395/19283/319757/243743/109880/11921/12386/20355/23945/18844/22421/108655/12661/269784/74244/67784/20315/19713/723944/18205/19277/381979/22323/269878/18223/80297/80749/233067/17136/20430/17984/16001/244058/18213/723968/233489/18479/244152/11785/13690/14183/75770/244237/79202/13043/13642/210801/211323/19339/17274/18997/12286/12552/71955/22152/244667/16412/13430/235072/235180/19649/58235/21838/13489/330938/104360/235402/20361/18007/53869/20616/270190/20187/23999/81897/20350/13138/16779/107934/235611/76499/54214/67095/12424/12774/22284/236794/14168/140571/16728/171207/18846/11878/382253	356
GO:0043410	positive regulation of MAPK cascade	384/13414	471/23577	2.16361253971537e-30	1.43423471243799e-27	4.86876084960512e-28	18387/12421/620393/20353/12633/14367/13869/13838/227326/12778/59041/21934/17167/71111/213452/280287/12654/11539/171469/67313/19264/11352/16963/14130/27218/12523/93840/21808/66208/13982/70097/14816/14219/21987/13608/19156/18119/17319/216148/114229/27403/17873/16000/17311/327826/215449/18413/16878/16009/13649/14172/211652/69183/11548/171285/14257/26397/26398/320207/104709/11686/13543/11687/50932/327957/18816/216965/22032/69109/16706/20296/20306/20290/20304/20308/20305/20302/20303/70834/18053/18673/13866/19401/12775/16416/78943/18750/26399/56745/18588/217378/30955/338372/19164/21809/105352/18105/14538/13614/23882/20963/26564/14186/18212/14063/14062/15357/27220/26401/109700/14165/22418/18753/319955/12159/93834/16475/14180/29820/14463/19229/11549/20410/70086/15558/21943/24064/321019/14600/13132/52521/56274/11600/18591/66513/22422/60597/66725/26404/21380/13544/21832/224116/19876/11820/224419/21844/20655/26407/14289/12005/268934/26382/11596/22339/17240/76589/28106/12266/11682/22436/18754/14309/18189/11516/240185/12558/381126/19762/14164/16906/15531/16149/18596/11555/13176/26412/16452/19211/11475/72514/107221/74055/69534/14179/11551/16181/332579/107746/11350/69601/24136/14526/65964/16410/228355/22034/12505/19419/21825/26390/11552/16176/215653/12156/18795/20608/252864/20779/21939/19246/13616/665113/20674/14173/18441/56426/76089/54635/99571/14161/110135/24088/50754/18211/404710/13636/20416/16194/19260/99470/109905/246691/242202/108058/13645/114249/56692/65086/17451/242316/192656/26409/140577/384009/21812/14745/21898/16476/16847/230738/230777/53608/13842/12540/68350/18784/22062/18762/15234/16193/14184/11553/83379/18595/16590/16542/71920/63873/19303/330177/333050/19247/18439/93897/17969/56221/18590/14254/15289/16591/16543/12390/17295/93735/14763/16846/15258/109880/54324/14056/93695/107607/12922/13197/21802/22421/65106/50501/110157/17000/18205/64654/78600/16653/16156/12273/101540/269881/56636/11441/16001/75547/18213/29875/18584/108071/14366/18479/27050/109689/66508/109042/76954/26918/26417/381921/66824/14183/11501/13491/16002/16334/12520/14175/14170/16337/26400/20300/14456/11502/14182/11556/80857/15111/18168/13617/14388/257632/17751/20299/20312/20295/234593/85305/117148/11606/234878/16412/71785/13857/73230/319239/57810/13489/330938/121021/12988/20361/23938/12175/20187/22041/81897/14678/19882/21667/17874/12387/12768/11836/245527/11835/270672	384
GO:0030900	forebrain development	310/13414	367/23577	3.58058379761474e-30	2.13617629365695e-27	7.25162444906395e-28	71877/12825/241062/212712/18187/12912/13869/12570/14472/16560/14633/226407/12767/14270/21367/12227/12316/56207/21960/83993/110648/30928/19165/19130/15182/14360/21907/12140/18541/71137/11783/327826/15364/14632/18016/18293/22778/13649/18423/68585/19127/16568/22416/20185/22187/77579/83431/216850/18472/237847/22627/15567/18015/12569/18121/140486/192157/15114/170758/238057/15902/16777/15228/21869/18080/15251/319565/19164/18222/76260/14836/192119/58208/668158/14634/16323/21418/15904/75420/13488/18740/18212/67269/13865/18420/16392/14165/54713/218772/22418/12166/12159/18424/18092/18996/75409/13190/65100/110082/20356/14042/76510/223697/223701/22422/58234/66725/22408/239719/65079/13845/20462/15205/268882/56637/19876/268902/67102/11820/17356/12005/74762/18131/20807/19280/65960/11682/20473/12558/67199/225523/15531/19434/20689/19091/19211/15242/72832/226162/14179/21416/13797/16871/18128/64930/69601/16874/16870/24136/18227/21375/94229/73668/14725/13390/13392/545428/18012/269295/17242/20511/18508/22174/140810/214593/12156/18795/228662/13555/14601/20779/329559/21420/59058/14013/20674/14173/329628/13175/76089/654362/70762/12032/387133/11444/22414/11924/18741/16842/16875/320790/18124/21350/18028/67299/13131/16975/242620/230676/76574/18991/433759/93760/99982/13844/22417/15565/70433/269610/22062/15208/20481/19699/20423/21335/14184/15194/17701/20563/19664/14843/13839/231380/77630/231580/21386/16873/654470/30841/20602/77053/22255/19353/14842/13395/319757/243743/66797/11826/14602/11922/11921/64704/13796/14461/22421/74244/20315/19305/387159/723944/16485/16974/16653/26362/18223/233064/11803/107503/12028/56847/11819/723968/18479/244152/233552/14183/57752/20664/244329/320165/14182/171167/211323/50768/18536/58198/244585/67378/14766/244667/110350/20586/11804/67703/57810/13489/17967/330938/75717/20361/102774/19378/19823/20187/81907/11848/235626/13813/13051/12387/209012/22284/15452/14168/20675/18846/11878/22589/211612	310
