ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007264	small GTPase mediated signal transduction	406/16778	416/23577	4.73179939282509e-47	2.82299151775945e-43	6.57471073529381e-44	211673/109294/226970/12825/74018/329165/26554/210293/227326/53972/320982/64095/227377/64143/98710/68724/381293/19731/11352/78255/226525/17926/226652/93840/12663/226751/320404/21808/215821/73910/83767/69288/110279/16000/104303/13998/17311/215449/117600/52666/13169/94176/11548/74563/380698/11840/216805/216831/18208/442801/83813/76281/380711/12928/109934/216963/21927/16706/18015/16400/18053/16211/217151/13866/268480/11858/80981/11841/18613/14674/56699/14784/19157/21858/108100/11302/192662/170758/20403/11852/19878/22630/11861/238130/18760/56784/11845/20663/80837/263406/217692/14744/217944/14569/56349/56044/140580/193385/11607/30938/56795/27261/14121/218397/19418/14063/14062/14064/110596/76041/81003/20620/218639/14165/11843/71704/64652/268739/219140/219144/11549/68813/246710/13449/67168/24064/76108/223254/105445/110168/223435/223513/239530/19354/72318/104445/20401/12614/223864/223881/11842/83945/224014/65079/12053/224105/545156/12549/56297/68146/19876/21844/16443/24001/22084/240057/26382/320484/19732/11629/14251/12488/22324/19765/240168/260409/381112/20662/104215/75415/19877/12558/19762/574402/74002/106952/71302/18596/328967/20469/104252/56327/19395/76088/107351/74055/71972/12675/73728/56350/56392/11554/71653/20163/75869/215632/22325/19730/107746/11350/27387/99326/241308/227743/69601/227801/320271/74194/75423/56508/108699/50884/228355/228359/104418/19419/214230/623781/228543/84092/241656/241694/20779/228850/277360/99371/20262/13605/24063/74012/71619/76089/213498/18211/404710/16800/19769/229541/57912/84505/18129/18049/18176/11853/109905/12977/76123/57257/29815/108058/77669/229877/99167/53378/230098/68016/11303/54366/14745/16476/67299/13131/74754/100169/242687/194231/16765/13844/12540/110351/72754/213649/14726/170731/269608/57295/230972/19699/19744/20563/74734/23881/231532/22241/19415/17165/72399/23912/56715/319974/54153/23921/13856/14673/75104/19353/19159/12843/17295/11844/320127/54324/11517/13448/20166/70527/232201/232227/232237/67166/101314/70727/243621/213522/14235/11857/13860/16653/67425/381836/21849/232906/319197/16801/101497/70584/233046/74206/233071/19158/20430/75547/18479/109689/207212/56212/19226/66922/16797/233877/330662/76484/15461/98845/102098/54126/17207/19414/234094/211323/19053/50768/50753/234353/53978/19727/17925/14065/15368/13617/14766/75687/12554/69581/19341/330863/244668/18186/16412/71544/13433/13430/319899/71746/330914/57810/69632/11806/235323/26395/57874/12175/68178/59046/19417/114713/20818/208869/56289/11848/235633/22376/75974/385354/72065/73341/14567/236915/108155/78826/213438/12662/18481/27494/14163/245666	406
GO:0007346	regulation of mitotic cell cycle	475/16778	499/23577	9.49458283480605e-44	1.89794349684767e-40	4.4202858581769e-41	21749/26921/109019/227154/12487/227292/387219/26554/98496/227331/59041/12043/20479/22625/13924/381293/214498/215378/108989/240843/18514/51810/108000/52477/76843/18005/13982/67141/237256/380629/78334/19386/216021/93759/12534/52696/15468/216166/21423/26396/13144/27375/69754/16000/327799/12905/52679/17246/52468/723962/12567/69917/12566/15574/13649/71701/20868/12450/30939/72290/68067/19360/118454/216795/216810/26397/216825/26398/19941/68964/22059/50932/14841/18472/216965/67811/237877/22680/66983/217011/20555/56321/72508/67300/114714/83560/71943/268465/80280/23834/21973/20851/20850/56208/19192/12189/72349/268491/53859/217232/26406/72149/18750/26399/26941/20698/11799/21858/74370/66156/209334/11491/15902/15228/15375/399510/59036/238271/15512/19363/12192/69952/13424/74335/11651/56696/238555/193385/20677/17300/13614/66197/26914/14451/56092/19206/218294/21752/105377/19356/268697/20620/26401/622408/14165/21974/218793/70601/23955/12159/19186/19188/67153/72400/14365/66854/18095/328440/19645/66214/77744/223255/223332/56274/78803/19357/105837/68501/17869/105782/15499/57028/18591/223775/22410/12914/83383/19090/224023/19385/12544/208643/75826/22061/15205/13383/224105/13490/74201/68193/68942/12228/11820/26407/13560/18763/193838/12575/18712/17691/57261/11629/21926/15937/66591/78309/66515/71810/67052/225028/116871/12193/17685/26410/26405/13872/11789/52563/19290/15183/16906/18596/67064/107047/70799/319195/16973/52004/19367/71711/18426/67849/26412/16952/226026/50796/19211/240641/16551/226151/14179/107338/20874/13006/226250/18761/30963/67991/11350/59126/67874/14089/53416/11909/104418/17536/12236/214230/72008/68142/108907/12235/69737/16175/16176/12531/18795/241656/12048/72119/13555/75608/241764/15378/58231/68612/12162/66679/56190/13616/723951/18767/66371/665113/269424/213582/53317/94315/54124/229543/56742/76123/229776/108058/28036/13645/229841/13684/109333/53378/27354/76959/230126/67628/545622/66440/56710/20104/12578/12579/20460/21349/12795/116748/269582/100088/19891/70012/68592/12540/108911/14726/28010/22062/12537/12571/27214/14677/50791/72772/66993/22629/21335/14184/52206/81702/71920/12223/12545/231600/50883/209683/12704/330177/23980/19247/231724/208628/231803/17120/100683/72611/264064/15289/12190/27053/68240/17295/12366/14056/93695/15398/56150/13197/13191/75305/21802/24100/22591/17193/12122/71950/15170/16493/12444/12576/71177/381836/68953/68077/434130/13871/21803/70584/26411/16001/208836/77011/12144/74041/18479/75430/101706/74996/233805/18817/30949/20399/381921/14183/12237/71007/17345/15461/57913/16002/16334/12577/72284/12443/16337/26400/234069/99375/244329/14182/73754/13685/21951/18004/26992/74256/234664/116733/234736/76454/67177/234852/234854/73420/17535/235041/12649/53376/26951/56057/19684/11920/20466/18854/23938/17127/68014/26395/66131/53869/67941/66991/50875/83946/22137/20842/235559/208583/235587/54369/235661/69274/387218/108737/12387/19054/18715/67117/13205/72584/20843/70415/14199/56292/17257/54601/22589/18481/24061	475
GO:0045786	negative regulation of cell cycle	411/16778	425/23577	9.54379901197286e-44	1.89794349684767e-40	4.4202858581769e-41	21749/109019/227292/387219/18159/227331/12043/17164/17248/17928/13924/214498/215378/108989/240843/226591/16589/18611/21808/19130/52477/76843/77065/18005/54139/13982/67141/16798/237256/380629/21929/19272/327762/12534/52696/71733/17319/15468/20869/208266/56371/12952/69754/327799/12905/52679/17246/17245/15978/52468/723962/12567/13198/69917/18413/16878/107829/78926/15574/13649/68145/71701/18148/70385/12450/30939/16160/68067/16362/118454/216795/216810/22671/18858/214384/19941/20877/11688/22059/70510/103844/18432/14841/216964/216965/54394/22680/12569/66983/217011/20555/270906/68729/83560/71943/268465/80280/65019/21973/12189/268491/192231/71059/78943/26941/11799/21858/11852/209334/15902/59036/12192/238328/12454/74335/21981/56696/16323/238555/193385/57441/20677/17300/20184/26914/14451/56092/218294/12380/57748/19356/268697/20620/14165/21974/218914/12159/72391/68755/50523/67153/72400/14365/66854/18095/219158/19645/66214/18996/106052/19355/78803/19357/105837/17869/17988/105782/15499/79456/105835/83456/29857/22410/15370/83383/26425/19090/224023/22061/13383/68193/12228/20112/12449/18763/193838/26416/12575/100502766/21926/53817/15937/71702/15516/66591/18519/67052/12193/17685/11516/225131/225160/14465/225182/30948/11789/19290/107047/70799/52004/19367/71711/18426/225849/17283/225845/28000/50796/109113/19211/15242/13006/21416/98828/14462/67991/11350/11636/107951/69601/67874/14089/50915/65964/11909/18012/104418/21825/27103/12236/72008/27223/241627/12235/12156/53626/12048/66971/13555/15378/20878/12162/56190/66371/20482/20674/269424/17349/16159/50754/94315/229543/18129/140917/229776/229841/18749/17451/60599/329795/27354/230103/545622/56710/214444/20104/12578/12579/12580/30923/20460/12795/269582/19891/68592/12399/66259/22642/28010/70556/22062/12571/50791/69188/72772/12568/68567/14208/107976/14184/75079/11787/12753/70681/231600/50883/330177/19247/231724/208628/69034/58805/14371/70103/21343/17120/100683/72611/381759/12366/14056/93695/56150/13197/24100/22591/17193/28019/72440/14235/12576/381979/68953/68077/378430/21803/12606/107503/75613/22088/108961/14453/11819/208836/77011/12144/434204/74041/75430/11785/101867/74996/233805/18817/26918/30949/56312/381921/14183/12237/71007/15461/57913/12577/72284/12443/234069/99375/244329/21951/12367/18004/68251/20467/18747/12317/26992/234664/116733/234736/76454/67177/17535/12581/235041/23871/12649/72927/21376/102423/235323/26951/56057/11920/246735/18854/14155/17127/68014/26395/66131/67941/66991/22137/245000/235559/208583/56289/83669/54369/235661/69274/387218/12387/19054/20843/14199/56292/54601/22589/24061	411
GO:0051345	positive regulation of hydrolase activity	454/16778	479/23577	2.76263836401595e-40	3.30848354250475e-37	7.70541538208846e-38	240690/98582/54610/227059/20846/15510/12370/74018/22218/56812/13838/210293/12828/227326/14767/51800/226407/93672/14270/21956/329260/19735/50778/13211/67792/19734/208263/240832/11352/29809/14103/20339/11931/16963/19736/16456/383619/24012/51810/13982/64058/26408/14219/110829/18119/93759/19152/23805/104303/11783/12905/17931/114774/66687/15978/74694/103724/12323/56193/76884/16428/14694/26420/76795/19052/192786/216749/22416/216799/83431/11932/13543/11684/18643/18436/76281/97761/18015/20296/20306/20290/20304/20308/20305/20302/20303/192197/68097/18053/58996/13866/12775/20848/19192/217201/544817/17896/78943/11818/19739/14674/217303/15223/207592/108903/74682/217463/18760/238161/56784/15512/217692/50779/14744/217869/68020/11651/56349/20191/11607/67046/20354/66494/69635/18570/17260/218397/17686/14063/14062/76041/170625/16398/109700/14165/108671/211922/11843/22418/18753/26419/11727/56532/20680/19229/11549/18095/15558/210789/105445/223453/17869/105782/15499/20401/54152/105835/223752/223754/69440/66725/223864/223870/18174/54483/83383/83945/68606/65079/13544/545156/70186/12374/56637/73916/19876/21844/66616/17356/18567/18607/22084/76483/12018/26416/80748/56462/381085/21926/15516/22339/72238/66968/22324/19765/320209/68617/22436/268973/17685/17688/11516/30948/107045/18596/170826/328967/11555/58801/17196/108995/17283/19395/14682/76088/16452/226089/14102/209478/71972/11554/69060/98910/20163/71435/64930/107746/70296/110854/14828/227753/227800/227801/269275/227937/21353/13427/16403/66861/56428/22259/99349/19419/12125/77006/18538/12156/241694/67231/228850/21939/277360/56491/14683/13605/22035/14173/18645/76089/20319/18211/13636/13638/20201/20202/20194/18720/11853/109905/13609/14066/271981/114249/77669/229877/16007/12042/17096/65973/192656/26885/433693/269523/12913/242406/381605/230163/14745/326623/230379/12578/67299/15444/16818/19204/230824/230837/22417/110351/68943/68350/18784/108911/213649/13836/12371/230972/18762/11603/50791/14184/100855/57915/22165/18595/19712/55985/231532/14020/100503670/52850/23790/56455/66593/29816/93897/215114/56221/66437/14254/13426/12390/101185/78781/381760/13835/54324/14056/13063/107607/11517/20617/13666/14080/64704/69538/232227/65106/19016/19713/12122/243621/18205/108124/170770/232906/101540/11813/11652/245886/56330/22260/101568/233204/12028/17872/244058/18213/108797/233489/22411/27050/109689/69710/56212/19226/70261/26417/68449/66824/67865/14183/15461/57913/14082/213027/20300/54126/66790/234072/234094/330721/14182/14272/22427/50768/97165/67184/17925/71310/244548/81489/14681/20299/20312/20295/102075/244654/85305/11606/16412/12362/12364/71544/23988/15894/13430/71746/21838/11806/11808/66113/270162/18854/74286/270163/72565/17127/26395/214424/67941/22003/14697/19417/13036/67016/22038/11933/19823/26927/14685/11848/235611/12424/67469/209815/13205/19733/75974/26926/27061/245638/382253/11856	454
GO:0051098	regulation of binding	350/16778	359/23577	2.77278205037274e-40	3.30848354250475e-37	7.70541538208846e-38	69028/227120/22218/56812/13838/381280/18627/74019/13345/208727/12043/64143/226352/74117/16153/98415/13211/11352/240873/19298/23893/19165/11545/108909/21808/18005/15214/15182/13180/93759/20610/208266/14797/21665/16000/15978/13198/16971/16878/15525/15110/22416/214384/791070/20877/53422/216869/12928/22032/16859/83560/18121/18102/70834/278507/12985/19401/14534/15184/11421/217356/192170/19719/16413/15902/20666/22160/59036/13665/19164/12313/69952/69237/15216/193385/16364/17300/94245/17702/18193/15387/56541/21752/17260/20620/14938/16398/16392/22418/105638/26419/218914/12159/73181/72400/219150/13592/18095/19645/211286/18996/13132/56274/68588/11600/16341/22045/67819/17869/15499/55944/17305/27373/18591/328572/19013/66725/223864/110213/208258/83383/50505/208643/75826/11450/15205/66849/80285/209200/56637/11820/21844/18763/56424/12018/57261/11596/14251/15516/17240/224860/18519/106759/320209/268970/68010/19877/72512/93687/11555/17191/17128/207259/17126/107975/67849/17283/16452/13380/15958/107182/72832/21416/14462/50755/22030/59022/67839/11350/99412/107951/69601/16870/14526/16401/18012/22034/15259/12064/12716/12010/110074/77006/12156/14225/228775/15901/228788/13589/13555/266692/20779/58231/20568/17395/11538/20878/64138/15213/18441/97112/76089/50754/11490/68911/20615/20194/18049/15257/28036/18741/13645/16842/19055/229906/170822/12395/192656/67490/433700/433702/21812/242466/16600/22166/21898/18028/12578/16476/100102/19268/269587/68040/16765/100017/78806/67025/99982/12540/110351/18509/71890/56273/67087/13806/57320/20481/13542/11603/79264/109552/12568/66993/100732/13667/11518/16976/12933/17701/74318/21814/54723/74585/29816/209354/19384/231803/16848/67238/18609/18979/15893/12389/17295/319757/109624/15258/13848/13666/11519/58799/52163/19016/67784/232560/21849/13871/18793/21803/64383/15388/75613/20174/12028/244058/12144/233532/109689/94088/24075/18817/56347/26417/13017/16334/22113/54126/21951/15111/97165/15368/18997/74256/14339/23802/64209/75687/497652/22751/67443/22761/67177/104346/244667/244694/23988/59035/20586/11804/117149/57810/72828/20660/20466/17127/12306/72278/22038/245000/22437/12387/18715/14460/385354/434784/14265/17257/270627/70315/237107	350
GO:0006281	DNA repair	413/16778	432/23577	1.19778938913254e-39	1.15096426546492e-36	2.68058088892089e-37	240697/14048/66799/56210/18143/22592/109019/227099/227195/12021/22596/54380/75570/14897/226409/98415/67196/56207/13211/26909/11545/76843/268281/14051/19714/77987/66403/71567/327762/93759/216049/12534/20587/68114/208266/56371/50721/21665/66341/75317/20962/93765/368203/117599/15364/21853/69917/12566/54125/18972/15574/60530/13649/68145/67030/103554/268395/18148/30939/68067/22210/19360/69747/22059/69723/68275/216965/16882/19364/237911/114714/268465/12189/268491/50776/12006/170472/30951/338371/71885/20892/209334/67241/104721/22160/104806/18974/75801/17420/268564/211978/19363/97827/217716/211064/104884/22632/67236/74335/116870/78903/110052/20184/14088/76251/218294/69716/105377/108138/17686/57748/27015/23894/19356/12572/71991/218630/14165/21974/56249/26430/319955/219022/18950/114741/56739/382913/71988/19355/382985/70790/19357/68501/15499/72749/79456/56438/14375/51812/668225/71726/52864/66911/252870/50505/223989/70620/19090/224008/12544/106344/70238/80285/209200/77782/12013/110749/15312/18207/75178/193838/56424/15361/58230/17687/14885/15937/240087/71702/80905/27221/18140/320209/17685/17688/225182/56515/225280/13872/26447/19367/69745/225876/71711/81601/67849/107260/14156/28000/226026/72199/226151/56626/67788/13006/55947/227525/16588/76938/50755/227622/269254/11350/72931/107951/227867/51869/59029/60344/20833/228140/107986/69113/19361/68142/27223/69596/18538/74528/24128/668929/109275/14049/66589/26972/11438/269400/56456/70099/76915/229543/68058/20957/140917/99890/66105/55993/623474/27354/77593/212377/66408/269523/60534/22590/14211/19359/66209/230484/381534/19366/70603/66233/73172/269582/71514/14050/19891/99982/71890/50762/56717/69928/57320/67513/57434/55982/107976/71101/107823/665775/19687/71521/191578/70681/12545/18973/50883/231642/22256/330177/72151/231724/19718/17766/231855/18861/100683/15289/12190/100710/69263/20422/68240/78412/13990/70020/72103/56505/72170/22591/232314/58186/18294/211651/17193/19365/19362/319801/14235/19691/18752/69714/21849/16881/68077/13870/13871/22594/243897/69920/12611/101831/18971/59047/384619/20174/15204/330554/66647/208836/77011/12144/233545/78610/27050/108937/67967/319604/11785/74996/233789/233826/67711/75764/56420/110033/66165/17314/72284/67439/319583/99375/18970/109145/22427/104271/408022/234258/234371/19704/68251/19358/69724/26383/234736/57321/22224/272551/14087/17199/244666/244694/17535/12581/66962/67484/235134/12649/102423/15270/214552/235323/11920/72774/18854/208084/68026/235441/67941/93836/21761/245000/235559/75686/235587/235626/17350/67561/22209/72584/26370/24102/18968/236904/53610/22589/56397/77622/59026/24061/635253/237211	413
GO:0031346	positive regulation of cell projection organization	400/16778	417/23577	1.35044415994878e-39	1.15096426546492e-36	2.68058088892089e-37	620393/29819/116837/12633/12168/14268/76709/22349/13838/20720/208727/59041/74117/20980/11352/103967/12944/52906/20393/14360/103199/54198/12484/93759/17319/18483/19205/20869/216166/26396/54712/20979/260315/216344/66225/16878/12323/52513/12808/66713/14025/216616/108686/213084/216739/11840/22416/22368/18208/83431/216856/18643/18472/20317/380713/20370/18015/192197/18103/18102/16400/18053/103742/12775/15114/14534/67998/11858/14824/353047/22415/17762/56699/20698/53860/108100/16570/20403/14226/77480/18760/18080/238276/27260/19164/18222/217715/21809/15519/18811/56044/68732/193385/73710/68750/20354/56320/15387/18212/11881/14063/13803/17755/16398/71228/22418/12159/12891/219103/50769/19229/18039/76965/223255/20356/116838/18606/72844/19354/104445/328572/140570/58234/12805/22408/11908/106298/70620/74006/19385/16180/74143/545156/56637/13837/19876/268902/67102/11504/21844/18546/13508/19317/27279/224617/22084/70083/23969/240058/18010/22339/20807/71461/66515/21770/18519/13640/68767/72722/260409/104215/11516/19762/20983/11789/14815/22240/225523/107035/83814/13176/17919/17344/23789/12631/104252/225849/13728/14297/22359/15566/107765/208922/319740/18011/71653/227541/18761/667663/99152/14810/269254/107746/99412/16819/14828/69601/24136/329421/18024/50884/241514/53872/12064/623781/228550/17005/140810/192212/12396/20779/228880/11538/12162/12561/269397/723951/20459/20257/192167/18759/20482/67414/16183/229320/20429/20713/76089/18211/12904/20202/18049/109905/229715/75769/65086/320840/242274/17096/329795/12801/21812/14745/19266/75811/16975/15572/19268/56401/329934/242687/99982/12540/68350/230872/56717/56226/59002/13542/11603/14362/15234/50791/19699/16193/15194/231225/16590/381644/52822/12492/23790/56455/231672/19415/17165/13048/18439/319974/16885/15507/13047/11423/13856/14086/19353/18261/75788/243725/71900/17295/19283/73178/19242/109880/14056/11826/68169/19692/211232/52163/101314/67784/20315/19713/16974/232560/67425/232906/269878/18223/20266/245886/243961/20981/70300/19259/20430/16001/244058/18213/14159/29875/12877/18479/18442/69710/11785/13690/110058/101565/64297/13631/15461/98845/101513/16334/54126/16150/14182/211323/23965/234267/382056/382018/18997/20312/74187/234593/234695/71955/234776/76454/23854/11606/330863/244667/18186/16412/13430/13857/68743/235072/235180/330938/20361/320563/102774/67891/26395/53869/235442/17427/50772/12160/13627/69981/17973/23999/80987/235611/54214/67095/54633/12361/75974/385354/14265/140571/16728/17257/14567/13405/331461/245537/11977/70237/18481/382253/20955	400
GO:0051052	regulation of DNA metabolic process	382/16778	397/23577	6.34918114828393e-39	4.73490184133274e-36	1.10275251522826e-36	383491/14048/21749/18143/12168/12487/22596/319651/98496/14897/18159/67444/14633/226409/98415/19264/59125/13211/12301/22164/51810/11545/67459/16526/18005/14051/14609/18768/216021/52463/327762/93759/216049/12534/50721/16000/75317/11783/93765/17311/52679/12461/15978/117599/14632/20852/56351/21853/69917/12566/18016/16009/15574/60530/13649/12464/108686/18148/68067/22210/16189/19360/12981/216805/26398/68964/20877/216853/22059/216869/18643/103677/20926/21927/237877/66983/16882/57765/15171/12189/12006/170472/69535/238011/30951/13435/22160/56531/21809/15519/11651/69237/57441/78903/218214/110052/20184/14186/380855/431706/105377/108138/17686/19356/71991/622408/14938/14165/21974/18753/30877/26430/26419/218914/12159/18950/15381/27374/28113/328417/75339/72400/219150/71988/19229/328440/13134/106052/12465/252973/70790/72107/17869/332110/15499/18591/51812/11908/668225/11482/52864/66911/50505/74108/70620/224008/26413/75826/106344/11450/12053/70238/22042/80285/209200/77782/56637/17450/68190/12469/66578/26407/17171/213389/11692/214901/19252/12575/58230/22404/110147/53817/18999/15937/15516/72836/18140/320209/13078/75467/17685/17688/225160/77805/65113/70640/18596/56708/17283/109113/107765/74493/226151/76055/108689/13006/14462/18761/50755/22130/13804/68379/107951/227737/723903/51869/60344/20375/98956/19361/68142/68968/27223/18538/13010/20779/21939/14049/269400/18706/16183/72162/54635/50754/229512/16905/20416/84505/21748/13645/27354/66592/66362/16600/12578/16476/230484/109263/14050/19891/15903/99982/12540/50912/13347/15234/22791/55982/16193/22226/107976/107823/19017/71521/18595/81702/11839/231440/11745/11991/70681/12545/50883/22256/18778/72151/17165/12466/19718/13856/18590/19353/18861/15289/12190/69263/17295/101185/53379/13990/72103/232314/58186/18294/74244/19016/171506/19365/11628/11810/73708/12267/19362/319801/14235/18752/21849/101540/13870/22594/606496/21803/12611/59047/12028/108961/16001/77011/12144/27050/108937/319604/16332/11785/233789/19647/20399/75764/26417/56420/233877/67278/17314/15461/14955/16334/63830/16337/26400/99375/21781/14182/22427/104271/21951/234344/66869/234371/19704/68251/234396/50931/12317/214627/497652/214987/21750/72544/57321/67177/244694/17535/13433/12649/11920/18854/66131/208084/12160/245000/245007/75686/235587/235626/17350/12387/20371/19733/20843/26926/17257/245474/236904/70315/78878/22589/18481/237107/24061/52808/635253/237211	382
GO:0006914	autophagy	346/16778	357/23577	1.00212566631803e-37	5.97868172525337e-35	1.39242724162084e-35	12421/19335/73674/14367/18711/245860/77040/98402/23830/51800/320311/12043/20479/64143/226407/226418/240752/104009/226720/98732/13853/21929/67412/11793/94221/93759/641340/20869/69754/71712/13179/15978/56480/117150/67588/193670/74302/22433/19324/17168/15944/18412/22333/16187/73158/54396/56631/216805/20787/237782/29869/22059/56486/78246/66048/192652/67811/75909/67300/76815/108083/15114/14534/11975/56208/17966/14580/353047/17762/52639/192897/338364/72344/74370/66840/217379/18760/76983/15251/217695/19164/20773/76559/11651/217893/56048/218035/72739/105193/268656/19336/56085/69635/66795/11881/218460/20620/11750/218832/100504663/74140/21821/66597/14463/12177/105787/66270/223453/67154/239408/20788/12257/66725/110213/68118/54483/74374/74006/27801/239739/381038/208643/100502698/56637/67841/66643/22084/268933/224630/224647/11596/54197/110147/109820/21425/72238/66530/106759/68767/68617/19328/225020/225131/18145/75964/225326/107045/67526/11555/100502841/27060/76308/68505/329015/58803/271564/209478/93679/53611/71648/18718/74159/67839/64930/11350/99412/227738/16917/76747/51897/228361/27103/171543/228545/269338/80743/386649/75608/66734/68728/320706/19025/228993/56456/72607/72175/19338/56458/24088/50754/654362/94232/14466/20615/20201/20202/13038/17210/280411/20333/666468/19260/67171/229697/14679/229722/214459/118449/67006/54673/170822/68053/60599/192656/26409/52187/73205/269523/67727/68441/12578/18786/242557/16847/108079/56374/12795/230674/54170/230738/230784/11983/100226/68943/68350/74772/22642/170731/56717/57320/236082/66169/213948/277854/15194/100855/73472/16542/52331/72145/22241/100756/252972/77573/66437/74781/70381/75788/15289/16846/107607/20617/22320/232146/15277/64704/19349/56505/74244/319801/57436/60321/19943/22185/606496/20924/64383/72244/72287/16541/233204/69903/75744/78610/73683/20821/13690/18704/12752/26417/67773/66824/12176/101613/54473/13033/13043/233979/94178/211134/18709/17274/15368/56367/257632/17751/13000/116733/93739/22224/67443/12362/12539/235040/13663/235180/15481/71732/18475/11920/270160/71742/26395/235439/320528/244962/74769/75669/81897/56032/83669/72179/17281/54636/18715/15185/209815/72018/16784/17772/16151/67391/67790/23947/245670/54609	346
GO:0061919	process utilizing autophagic mechanism	346/16778	357/23577	1.00212566631803e-37	5.97868172525337e-35	1.39242724162084e-35	12421/19335/73674/14367/18711/245860/77040/98402/23830/51800/320311/12043/20479/64143/226407/226418/240752/104009/226720/98732/13853/21929/67412/11793/94221/93759/641340/20869/69754/71712/13179/15978/56480/117150/67588/193670/74302/22433/19324/17168/15944/18412/22333/16187/73158/54396/56631/216805/20787/237782/29869/22059/56486/78246/66048/192652/67811/75909/67300/76815/108083/15114/14534/11975/56208/17966/14580/353047/17762/52639/192897/338364/72344/74370/66840/217379/18760/76983/15251/217695/19164/20773/76559/11651/217893/56048/218035/72739/105193/268656/19336/56085/69635/66795/11881/218460/20620/11750/218832/100504663/74140/21821/66597/14463/12177/105787/66270/223453/67154/239408/20788/12257/66725/110213/68118/54483/74374/74006/27801/239739/381038/208643/100502698/56637/67841/66643/22084/268933/224630/224647/11596/54197/110147/109820/21425/72238/66530/106759/68767/68617/19328/225020/225131/18145/75964/225326/107045/67526/11555/100502841/27060/76308/68505/329015/58803/271564/209478/93679/53611/71648/18718/74159/67839/64930/11350/99412/227738/16917/76747/51897/228361/27103/171543/228545/269338/80743/386649/75608/66734/68728/320706/19025/228993/56456/72607/72175/19338/56458/24088/50754/654362/94232/14466/20615/20201/20202/13038/17210/280411/20333/666468/19260/67171/229697/14679/229722/214459/118449/67006/54673/170822/68053/60599/192656/26409/52187/73205/269523/67727/68441/12578/18786/242557/16847/108079/56374/12795/230674/54170/230738/230784/11983/100226/68943/68350/74772/22642/170731/56717/57320/236082/66169/213948/277854/15194/100855/73472/16542/52331/72145/22241/100756/252972/77573/66437/74781/70381/75788/15289/16846/107607/20617/22320/232146/15277/64704/19349/56505/74244/319801/57436/60321/19943/22185/606496/20924/64383/72244/72287/16541/233204/69903/75744/78610/73683/20821/13690/18704/12752/26417/67773/66824/12176/101613/54473/13033/13043/233979/94178/211134/18709/17274/15368/56367/257632/17751/13000/116733/93739/22224/67443/12362/12539/235040/13663/235180/15481/71732/18475/11920/270160/71742/26395/235439/320528/244962/74769/75669/81897/56032/83669/72179/17281/54636/18715/15185/209815/72018/16784/17772/16151/67391/67790/23947/245670/54609	346
