ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007264	small GTPase mediated signal transduction	294/10518	416/23577	2.03432965996727e-27	1.21327420920448e-23	5.42844809264951e-24	211673/109294/226970/74018/329165/26554/210293/320982/227377/64143/98710/381293/19731/11352/78255/226525/226652/93840/226751/320404/21808/215821/73910/83767/69288/110279/16000/104303/13998/17311/215449/117600/94176/18208/83813/109934/16706/18015/18613/14784/19157/21858/108100/11302/20403/11852/19878/22630/11861/238130/18760/56784/11845/20663/80837/24071/217692/14744/217944/14569/56349/56044/140580/193385/11607/30938/218397/19418/14063/14062/14064/110596/20620/218639/14165/11843/71704/64652/268739/219140/219144/68813/246710/13449/67168/24064/76108/223254/105445/110168/223435/223513/239530/19354/72318/20401/12614/223864/223881/224014/65079/12053/224105/545156/12549/56297/68146/19876/21844/16443/24001/12488/22324/19765/260409/381112/20662/104215/75415/19877/12558/19762/574402/74002/106952/71302/18596/20469/19395/76088/107351/74055/71972/73728/56350/56392/11554/20163/75869/215632/22325/19730/107746/11350/27387/99326/241308/227743/69601/227801/320271/74194/75423/56508/50884/228355/228359/104418/19419/214230/228543/241694/20779/277360/13605/24063/74012/71619/76089/213498/404710/16800/18129/18176/11853/109905/76123/57257/29815/108058/229877/99167/53378/68016/11303/54366/16476/13131/74754/242687/13844/12540/72754/213649/269608/19699/19744/20563/74734/23881/231532/22241/19415/17165/72399/23912/56715/319974/54153/23921/14673/75104/19353/19159/12843/17295/320127/54324/13448/232201/232227/232237/67166/101314/70727/213522/11857/16653/58804/67425/381836/21849/232906/319197/11816/16801/101497/70584/74206/20430/75547/18479/109689/207212/66922/330662/15461/102098/54126/17207/19414/234094/211323/19053/50768/50753/234353/15368/13617/14766/75687/12554/69581/19341/330863/244668/18186/16412/13430/319899/71746/330914/57810/69632/235323/12175/19417/114713/20818/235633/75974/385354/72065/73341/236915/108155/78134/78826/213438/12662/74448/27494/14163/245666	294
GO:0033674	positive regulation of kinase activity	316/10518	456/23577	5.58837273389287e-27	1.66645274924686e-23	7.45606572653602e-24	227154/74018/14367/22596/18173/12570/16367/12283/21934/64143/72949/18640/213452/381290/11539/67313/381293/19264/80915/93840/21808/19130/68652/70097/14816/26408/12484/19386/93759/17319/114229/17873/26396/16000/17311/237542/327826/15978/216439/17937/13649/68145/108686/20868/14172/16160/19052/26398/320207/104709/67468/71943/70834/23834/12775/53859/16416/26406/72149/12006/26399/217303/74370/18588/16413/11491/30955/238161/59032/17420/15512/338372/21809/12454/11607/19766/13614/66197/23882/20963/26564/105278/66671/14062/27220/268697/26401/109700/14165/18753/319955/12159/100504663/11727/16475/12759/19229/15558/21943/66214/52023/14600/13132/19116/52521/56274/11600/14083/18591/66513/14375/22422/66725/26404/13731/12703/224014/13544/11450/13383/224105/224116/19876/224419/21844/20655/26407/17171/14289/18607/18763/71718/268934/18712/11596/22339/12445/17240/70891/11682/19106/18189/11516/26410/14370/67974/26405/13653/14164/16906/16149/18596/12978/11555/240354/26403/22359/16452/13380/74055/69534/20874/78832/22030/22325/11350/14828/69601/24136/14526/53416/65964/68082/228355/14061/228361/22034/12505/23892/19419/214230/11552/16176/12531/215653/20779/58231/19246/11538/56491/13616/13628/13605/665113/56706/56426/76089/54635/50754/404710/16194/99470/109905/246691/57257/242202/13645/229841/56692/16911/54673/65086/27354/51813/26409/21812/326623/21898/13131/16975/20460/269582/14191/53608/12540/22062/18762/56036/11603/15234/19699/108099/100732/14184/21897/21899/18595/16590/56792/71920/19303/231659/330177/19247/18439/207565/93897/17969/18590/75104/19353/14254/243725/16543/17295/16846/54324/14056/13197/21802/50501/58991/110157/12504/18205/319801/12444/12576/78600/16653/381836/232983/26365/21803/70584/11441/75547/18213/80982/50490/18479/27050/109689/21676/64297/15461/13491/12520/12443/16337/69068/11502/14182/211323/14081/18004/14388/257632/234878/117149/16173/12988/56040/23938/214424/22041/75669/81897/14678/13138/21813/13205/16151/94275/53380/270672	316
GO:0001525	angiogenesis	307/10518	444/23577	5.45400009428484e-26	1.08425521874383e-22	4.8511895575481e-23	20671/240725/257630/210933/50785/68833/20846/12370/18187/14367/14268/16147/17975/14472/51801/12767/269120/14103/93840/12490/70097/14219/72780/327743/21907/52014/107449/18119/93759/16414/21390/50721/13713/12226/52679/19263/380664/16878/22433/19058/17268/68585/14172/20692/11541/104709/11684/20317/18015/192197/22344/72324/16416/18613/18750/20698/11852/19878/16413/30955/79221/11622/18760/15251/24071/18654/238328/18191/192119/18811/17300/13614/20963/17129/387217/21752/18570/80898/66549/71690/16392/18792/192187/239027/105450/12159/16854/11727/73181/14180/19229/13655/70086/66214/16840/12224/432940/20356/67154/11600/14083/107831/17886/22422/223864/56233/22379/109901/11482/15370/16402/13731/21380/12837/19876/11504/12394/13388/26416/18771/18131/18132/22339/20807/19274/13078/13819/18189/240185/14370/19877/15200/14164/18596/11555/21413/83921/19211/14179/18128/353156/22325/20181/11350/13805/69601/11477/14089/18024/16410/54598/23892/114715/11552/16176/319909/107586/15901/140484/228852/18803/58231/17395/19223/208188/18706/74838/56426/20319/50754/20351/13601/18129/246691/20226/57257/13609/14066/18741/13809/13645/16842/13722/26409/14595/230126/21812/16600/16476/16451/21349/230738/329941/230775/242687/29876/13844/12540/13836/24111/20349/15234/12491/20817/20563/19664/18595/16542/71920/15945/11745/15442/231532/19303/14886/15507/13846/18590/14254/15289/243362/94192/330267/12389/269831/16846/19242/15258/13835/12922/11826/68169/13666/21802/22421/50501/58991/67784/20315/68465/21937/12273/101540/53417/319197/232983/26365/14751/20130/108961/53415/11441/17304/72461/20866/11535/57342/18576/18751/14183/50767/13642/12827/12826/11601/14182/78560/15368/13617/15245/17390/14766/18021/12554/14234/112405/18186/16412/70726/73230/57246/83964/23871/74144/21838/84004/16173/18854/23938/19883/12306/13036/74769/235626/22221/21813/12387/12772/19108/54601/12766/58861/64103/68792/237038/27494/14205	307
GO:0031346	positive regulation of cell projection organization	291/10518	417/23577	1.02578013441268e-25	1.52943818040931e-22	6.84303326509514e-23	19888/620393/29819/116837/12633/12168/14268/76709/22349/20720/208727/74117/20980/11352/103967/12944/52906/20393/14360/103199/54198/12484/93759/17319/19205/216166/26396/54712/20979/260315/216344/66225/16878/12323/12808/66713/14025/108686/216739/18208/83431/18472/20317/380713/18015/192197/12775/67998/22415/20698/53860/108100/16570/20403/14226/77480/100294583/18760/18080/238276/18222/217715/21809/15519/18811/56044/68732/193385/68750/20354/18212/11881/14063/13803/17755/16398/12159/219103/50769/19229/76965/223255/20356/116838/72844/19354/140570/58234/12805/11908/106298/70620/74006/19385/16180/74143/545156/56637/13837/19876/268902/67102/11504/21844/19317/50873/224617/23969/240058/18010/22339/20807/71461/21770/18519/13640/72722/260409/104215/11516/19762/20983/11789/14815/225523/83814/13176/17919/17344/13728/14297/22359/107765/319740/227541/18761/667663/269254/107746/16819/14828/69601/24136/329421/18024/50884/241514/140810/12396/20779/228880/11538/12162/12561/723951/723950/192167/18759/20482/67414/16183/20429/20713/76089/12904/109905/229715/65086/320840/242274/329795/12801/21812/19266/75811/16975/19268/329934/242687/12540/56717/56226/13542/11603/15234/50791/19699/16193/15194/231225/16590/381644/52822/12492/23790/56455/231672/19415/17165/13048/18439/319974/15507/13047/19353/75788/243725/71900/17295/73178/19242/109880/14056/11826/68169/211232/101314/67784/20315/19713/16974/232560/58804/67425/232906/11816/20266/245886/243961/20981/70300/20430/16001/244058/18213/12877/18479/18442/69710/13690/64297/13631/15461/101513/54126/16150/14182/211323/23965/234267/382056/382018/234593/71955/76454/330863/244667/18186/16412/13430/68743/235072/235180/330938/320563/102774/53869/235442/17427/50772/13627/69981/17973/23999/235611/54214/67095/12361/75974/385354/14265/140571/16728/17257/13405/245537/11977/70237/22067/382253/20955	291
GO:2000147	positive regulation of cell motility	325/10518	478/23577	1.90882528996037e-25	2.27684680586473e-22	1.01870991790516e-22	383491/19243/16177/12168/13869/14268/76709/22349/16367/208727/12043/76707/226352/74117/12767/329252/19264/16782/22164/240873/20343/20344/16963/27218/338366/21808/19130/70097/70208/21337/67500/17319/71709/26396/16000/17311/114774/15978/14632/22433/13649/68585/14172/14694/16189/20692/18208/53624/11684/18806/17913/237860/16859/20290/192197/72508/70834/14786/12775/20850/16416/18613/66313/18750/20698/11852/19878/16413/11491/104836/22160/79221/238130/18760/11855/15251/319565/18222/18654/18811/68732/193385/68750/21418/13614/20354/26564/13488/21752/18570/21828/14063/14062/18708/16195/16398/14165/18792/80795/12339/26419/12159/16854/75019/17387/19229/68813/13829/24064/19219/13132/71175/20356/11600/15117/17869/14083/19354/223697/18591/109270/14114/105722/223864/56233/11479/16402/105855/17250/20583/68606/21844/75296/12458/14289/224617/26416/106512/11596/22339/271457/50930/14158/13078/20541/18754/17075/240185/11789/13653/15200/13367/14164/20358/16149/18596/12978/11946/76088/16452/60533/240641/227541/14462/56876/18128/11350/14828/69601/11477/16403/56508/18024/16401/16410/19271/18508/214968/14178/16176/20779/16803/18803/17395/277360/20613/12162/13616/18805/50706/16159/56426/76089/54635/24088/66166/13609/14066/118449/108058/13645/16842/21338/19218/53378/70568/20301/384009/21812/230233/54357/69807/16476/67916/13615/230738/19204/14191/56717/18707/24111/230979/20346/15234/80979/19699/11980/18595/16590/16542/52822/330122/14825/20310/15945/55985/11745/231637/63873/18438/15507/18590/19353/14254/15289/21333/17295/319757/13835/232748/71660/93695/11826/71093/22421/20315/19713/22419/18205/68992/12273/101540/232983/21803/11652/60595/16001/18213/18550/12877/80982/50490/18479/22411/233571/18442/20947/66922/330662/15461/14082/16337/384783/54126/11502/14182/353310/78560/13617/12317/17390/14894/75687/12554/14234/76454/18186/16412/23871/117149/21838/84004/76509/16173/17127/53869/214812/13143/11487/15379/17918/13036/22041/76499/21813/12770/12772/54601/80903/11977/68792/27494/14205/76763/19241	325
GO:0045860	positive regulation of protein kinase activity	291/10518	420/23577	6.3430164670214e-25	6.30495836821927e-22	2.82097311296478e-22	227154/74018/14367/22596/18173/12570/12283/21934/64143/72949/381290/11539/67313/381293/19264/93840/21808/19130/68652/70097/14816/26408/12484/93759/17319/114229/17873/26396/16000/17311/237542/327826/15978/216439/17937/13649/68145/108686/20868/14172/16160/19052/26398/320207/104709/67468/71943/70834/23834/12775/53859/16416/26406/72149/12006/26399/217303/74370/18588/16413/11491/30955/238161/59032/17420/15512/338372/21809/12454/11607/19766/13614/66197/23882/20963/26564/105278/66671/14062/27220/268697/26401/109700/14165/18753/319955/12159/11727/16475/12759/19229/15558/21943/66214/52023/14600/13132/19116/56274/11600/14083/18591/66513/14375/22422/66725/26404/13731/12703/224014/13544/11450/13383/224105/224116/19876/224419/21844/20655/26407/17171/18607/18763/71718/268934/18712/11596/22339/12445/17240/70891/11682/19106/18189/11516/26410/14370/67974/26405/13653/14164/16906/16149/18596/12978/11555/240354/26403/22359/16452/13380/74055/69534/20874/78832/22030/11350/14828/69601/24136/14526/53416/65964/68082/228355/22034/23892/19419/214230/11552/16176/12531/215653/20779/58231/19246/11538/56491/13616/13605/665113/56706/56426/76089/54635/50754/404710/16194/99470/109905/246691/242202/13645/229841/56692/65086/51813/26409/21812/326623/21898/13131/16975/20460/269582/53608/22062/18762/56036/11603/15234/19699/108099/100732/21897/21899/16590/56792/71920/19303/330177/19247/18439/207565/93897/17969/18590/75104/14254/243725/16543/17295/16846/54324/14056/13197/21802/50501/58991/110157/12504/18205/12444/12576/78600/16653/381836/232983/26365/21803/70584/11441/75547/18213/80982/50490/18479/27050/109689/21676/64297/15461/13491/12520/12443/16337/69068/11502/14182/211323/14081/18004/14388/257632/234878/117149/16173/12988/56040/23938/214424/22041/81897/14678/13138/21813/13205/16151/94275/53380/270672	291
GO:0030335	positive regulation of cell migration	313/10518	460/23577	1.22796285384633e-24	1.04622435147707e-21	4.68103133007586e-22	19243/16177/12168/13869/14268/76709/22349/16367/208727/12043/76707/226352/74117/12767/329252/19264/16782/22164/240873/20343/20344/16963/27218/338366/21808/19130/70097/70208/67500/17319/71709/16000/17311/114774/15978/14632/22433/13649/68585/14172/14694/16189/20692/11684/18806/17913/237860/16859/20290/192197/72508/70834/14786/12775/20850/16416/18613/66313/18750/20698/11852/19878/16413/11491/104836/79221/238130/18760/11855/15251/319565/18222/18654/18811/68732/193385/68750/21418/13614/20354/26564/13488/21752/18570/21828/14063/14062/18708/16195/16398/14165/18792/80795/12339/26419/12159/16854/17387/19229/68813/13829/24064/19219/13132/71175/20356/11600/15117/17869/14083/19354/223697/18591/109270/14114/105722/223864/56233/11479/16402/105855/17250/20583/68606/21844/75296/12458/14289/224617/26416/106512/11596/22339/271457/50930/14158/13078/20541/18754/240185/11789/13653/15200/13367/14164/20358/16149/18596/12978/11946/76088/16452/60533/240641/227541/14462/56876/18128/11350/14828/69601/11477/16403/56508/18024/16401/16410/19271/18508/214968/14178/16176/20779/16803/18803/17395/277360/20613/12162/13616/18805/50706/16159/56426/76089/54635/24088/66166/13609/14066/118449/108058/13645/16842/19218/53378/70568/20301/384009/21812/230233/54357/69807/16476/67916/13615/230738/19204/14191/56717/18707/24111/230979/20346/15234/19699/11980/18595/16590/16542/52822/330122/14825/20310/15945/55985/11745/231637/63873/18438/15507/18590/19353/14254/15289/21333/17295/319757/13835/232748/71660/93695/11826/71093/22421/20315/19713/22419/18205/68992/12273/101540/232983/21803/11652/60595/16001/18213/18550/12877/80982/50490/18479/22411/233571/18442/20947/66922/330662/15461/14082/16337/384783/54126/11502/14182/353310/78560/13617/12317/17390/75687/12554/14234/76454/18186/16412/23871/117149/21838/84004/76509/16173/17127/53869/214812/13143/11487/15379/17918/13036/76499/21813/12770/12772/54601/80903/11977/68792/27494/14205/76763/19241	313
GO:0051272	positive regulation of cellular component movement	330/10518	492/23577	3.01913457162751e-24	2.03047694910835e-21	9.08478778987903e-22	383491/19243/16177/12168/13869/14268/76709/22349/16367/208727/12043/76707/226352/74117/12767/329252/19264/16782/22164/240873/20343/20344/16963/27218/338366/21808/19130/70097/70208/53374/21337/67500/17319/71709/26396/16000/17311/114774/15978/14632/22433/13649/68585/14172/14694/16189/20692/18208/53624/11684/18806/17913/237860/16859/20290/192197/72508/70834/14786/12775/20851/20850/16416/18613/66313/18750/20698/11852/19878/16413/11491/104836/22160/79221/238130/18760/11855/15251/319565/18222/18654/18811/68732/193385/68750/21418/13614/20354/26564/13488/21752/18570/21828/14063/14062/18708/16195/16398/14165/18792/80795/12339/26419/12159/16854/75019/17387/19229/68813/13829/24064/19219/13132/71175/20356/11600/15117/17869/14083/19354/223697/18591/109270/14114/105722/223864/56233/11479/16402/105855/17250/20583/68606/12053/21844/75296/12458/14289/224617/26416/106512/11596/22339/271457/50930/14158/13078/20541/18754/17075/240185/11789/13653/15200/13367/14164/20358/16149/18596/12978/11946/76088/16452/60533/240641/227541/14462/56876/18128/11350/14828/69601/11477/16403/56508/18024/16401/16410/19271/18508/214968/14178/16176/20779/16803/18803/17395/277360/20613/12162/13616/18805/50706/16159/56426/76089/54635/24088/66166/13609/14066/118449/108058/13645/16842/21338/19218/53378/70568/20301/384009/21812/230233/54357/69807/16476/67916/13615/230738/19204/14191/56717/18707/24111/230979/20346/15234/80979/19699/11980/18595/16590/16542/52822/330122/14825/20310/15945/55985/11745/231637/63873/18438/15507/18590/19353/14254/15289/21333/17295/319757/13835/232748/71660/93695/11826/71093/22421/20315/19713/22419/18205/68992/12273/101540/232983/21803/11652/60595/16001/18213/18550/12877/80982/50490/18479/22411/233571/18442/20947/66922/330662/15461/14082/16337/384783/54126/11502/14182/353310/78560/13617/12317/17390/14894/75687/12554/14234/76454/18186/16412/23871/117149/235180/21838/84004/76509/16173/17127/53869/214812/13143/11487/15379/17918/13036/22041/76499/21813/12770/12772/17257/54601/80903/11977/68792/27494/14205/76763/19241	330
GO:0001667	ameboidal-type cell migration	247/10518	346/23577	3.06410002380536e-24	2.03047694910835e-21	9.08478778987903e-22	20671/12168/18187/13869/14268/21961/22349/18505/14472/52392/76707/226352/74117/12767/14270/27217/13590/63953/21808/19130/70097/21907/18119/71371/16414/71709/17311/19279/15978/380664/12512/216560/68585/14172/723924/16189/20692/73139/11684/18472/20317/18015/67338/192197/20850/16416/18613/66313/18750/192897/11852/19878/16413/22160/79221/18760/15251/319565/24071/238328/14026/18811/68750/18570/11881/16398/16392/14165/19270/12339/105450/12159/19229/68813/20855/13655/13829/66214/13618/14573/20356/11600/15117/14083/19245/107831/17886/20401/18591/56233/11482/11479/15370/16421/13731/20583/68606/21380/19876/12458/20997/15116/18607/19015/11596/22339/20807/14158/19274/13078/20541/18754/240185/15200/14164/328949/11946/23942/22682/19211/14179/332397/14462/18128/11350/69601/241324/24136/11477/13482/14089/18024/16401/50884/16410/72446/18508/23892/114715/14178/241639/107586/20779/18803/17395/12162/13616/16776/18645/30953/56426/50754/20351/18741/16842/109333/384009/21812/16600/54357/16476/69216/12331/11426/230738/242687/108911/13836/56717/230917/24111/269608/20346/55982/20563/18935/16590/16542/55985/11745/21814/23790/19303/19247/18438/20778/15507/13846/14673/19353/15289/243362/21333/17295/319757/109880/11826/56753/71093/12154/22421/67784/20315/19713/16974/11857/20901/68992/101540/11816/26365/21803/11819/17292/17293/72461/18479/22411/330662/14170/13642/54126/11601/11502/14182/78560/12317/71805/12554/14234/18186/16412/68743/73230/23871/18854/23938/53869/13036/20350/76499/21813/21857/19108/80903/68792/27494	247
GO:0044089	positive regulation of cellular component biogenesis	327/10518	488/23577	6.27659941209202e-24	3.74336388937168e-21	1.67486100101613e-21	19888/21749/29819/116837/210933/17974/73674/22218/329165/12912/76709/22349/208727/20479/76707/64143/226352/74117/226407/19735/108989/67771/103967/383619/98732/19130/13982/72567/14219/83767/12484/110829/216028/114229/50721/260315/72068/15978/71902/117150/22778/12808/56193/66713/108686/268396/14694/26420/30794/216742/83431/17913/11418/192197/320472/108083/12985/12775/18750/14784/53860/108100/20969/16413/22160/11622/20259/16981/328108/11845/18080/21809/399558/14744/19179/12652/14026/15519/217995/56044/19720/68732/193385/13614/18212/218333/105377/57748/14063/544963/17755/66254/26401/319476/26419/67089/63985/16475/219103/12759/19229/20410/68705/66214/76965/239250/75409/78757/20024/211401/13196/107831/72844/19354/105827/223864/105855/52864/70620/224008/68606/12737/16180/13383/56637/208177/67045/18091/22339/20807/13640/14158/72515/72722/260409/18754/104215/18189/75739/19877/11789/225523/104027/68166/17919/12405/396184/14544/14102/15925/18761/20844/18718/667663/269254/11350/227753/74192/329421/50884/19271/19182/14260/171543/140810/12125/71436/433485/15901/20779/228880/11538/12162/192167/18645/329679/99889/20194/320747/11853/229715/76123/118449/211556/229898/54673/99633/53378/329795/242384/22249/21812/21898/19266/75811/16476/14084/21349/230775/107581/242687/13844/22417/12540/72754/74772/56717/65945/56226/260305/11603/12491/19181/55982/15194/71116/231225/16826/21899/75991/16590/16542/381644/319387/16069/55985/231464/22241/21405/56455/19303/13048/56378/18439/56430/319974/19353/11867/72587/21333/12389/17295/93677/73178/109880/13835/54324/11826/14804/74342/243499/13191/12154/19349/22421/320502/17342/16979/68089/101314/58991/211187/12122/232370/12576/58804/67425/13854/68953/170770/232906/22323/21803/63986/70300/20430/18213/50490/18479/22411/27050/69710/101706/20947/13631/15461/13043/234094/234267/72333/26364/330814/234594/58994/15118/116733/15900/14234/234857/18186/319675/13430/68743/235072/21838/102693/102774/17127/17427/21983/20616/17973/23999/13138/18571/76499/12387/12424/75974/385354/14265/17257/17698/245537/11977/68792/70237	327
